A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A260,Case High 7345 Washington Ave Racine,B270,Case High School 7345 Washington Ave Racine,0.84439373
A1327,New Richmond Early Childhood Special Education 701 E 11th St New Richmond,B1330,New Richmond Head Start 421 S Green Ave New Richmond,0.8441373
A834,Hudson 4K 1118 Fourth St Hudson,B839,Hudson 4k 70 County Road E Houlton,0.8440872
A1903,Tank Elementary 814 S Oakland Ave Green Bay,B1025,Langlade Elementary School 400 Broadview Dr Green Bay,0.84381926
A77,ASSATA High 3517 W Courtland Ave Milwaukee,B1601,Reagan Prep Hs 4965 S 20th St Milwaukee,0.8438048
A702,Grant Elementary 500 N 4th Ave Wausau,B1044,Lincoln Early Learning Academy 720 S 6th Ave Wausau,0.8435164
A1547,Prairie Farm High 630 River Ave S Prairie Farm,B1556,Prairie Farm Middle School 630 River Ave S Prairie Farm,0.84351397
A1575,Pulaski High 2500 W Oklahoma Ave Milwaukee,B1582,Pulaski High School 2500 W Oklahoma Ave Milwaukee,0.8434315
A253,Carmen Hi Southeast Campus 5496 N 72nd St Milwaukee,B262,Carmen High School Of Science And Technology- South Campus 1712 S 32nd St Milwaukee,0.84323645
A767,Hayward Primary 15930 W 5th St Hayward,B763,Hayward Primary School 10665 North Main Street Hayward,0.8431113
A138,Beloit Learning Academy Cunningham Beloit,B143,Beloit Learning Academy 910 Townline Ave Beloit,0.8430214
A255,Carmen Mid/Hi Northwest Campus 5496 N 72nd St Milwaukee,B262,Carmen High School Of Science And Technology- South Campus 1712 S 32nd St Milwaukee,0.8429836
A1531,Poplar Creek Elementary 17401 W Cleveland Ave New Berlin,B543,Elmwood Elementary School 5150 S Sunnyslope Rd New Berlin,0.84287286
A1851,Steffen Middle 6633 W Steffen Dr Mequon,B1954,Steffen Middle School 6633 W Steffen Dr Mequon,0.8428347
A1330,New Richmond Middle 701 E 11th St New Richmond,B1330,New Richmond Head Start 421 S Green Ave New Richmond,0.8427452
A351,Cooper Montessori 248 Kendall St Burlington,B229,Burlington Alternative School 100 N Kane St Burlington,0.84238935
A1185,Meadow View Primary 506 Beaver Dam St Waupun,B1189,Meadow View Primary School 506 Beaver Dam Street Waupun,0.8423551
